title,url,prix,page,adresse
autres item 1 sur la page 1,https://sn.coinafrique.com/categorie/autres-animaux?page=1,10,1,Adresse 1
autres item 2 sur la page 1,https://sn.coinafrique.com/categorie/autres-animaux?page=1,20,1,Adresse 2
autres item 3 sur la page 1,https://sn.coinafrique.com/categorie/autres-animaux?page=1,30,1,Adresse 3
autres item 4 sur la page 1,https://sn.coinafrique.com/categorie/autres-animaux?page=1,40,1,Adresse 4
autres item 5 sur la page 1,https://sn.coinafrique.com/categorie/autres-animaux?page=1,50,1,Adresse 5
autres item 1 sur la page 2,https://sn.coinafrique.com/categorie/autres-animaux?page=2,20,2,Adresse 1
autres item 2 sur la page 2,https://sn.coinafrique.com/categorie/autres-animaux?page=2,40,2,Adresse 2
autres item 3 sur la page 2,https://sn.coinafrique.com/categorie/autres-animaux?page=2,60,2,Adresse 3
autres item 4 sur la page 2,https://sn.coinafrique.com/categorie/autres-animaux?page=2,80,2,Adresse 4
autres item 5 sur la page 2,https://sn.coinafrique.com/categorie/autres-animaux?page=2,100,2,Adresse 5
