title,url,prix,page,adresse
moutons item 1 sur la page 1,https://sn.coinafrique.com/categorie/moutons?page=1,10,1,Adresse 1
moutons item 2 sur la page 1,https://sn.coinafrique.com/categorie/moutons?page=1,20,1,Adresse 2
moutons item 3 sur la page 1,https://sn.coinafrique.com/categorie/moutons?page=1,30,1,Adresse 3
moutons item 4 sur la page 1,https://sn.coinafrique.com/categorie/moutons?page=1,40,1,Adresse 4
moutons item 5 sur la page 1,https://sn.coinafrique.com/categorie/moutons?page=1,50,1,Adresse 5
moutons item 1 sur la page 2,https://sn.coinafrique.com/categorie/moutons?page=2,20,2,Adresse 1
moutons item 2 sur la page 2,https://sn.coinafrique.com/categorie/moutons?page=2,40,2,Adresse 2
moutons item 3 sur la page 2,https://sn.coinafrique.com/categorie/moutons?page=2,60,2,Adresse 3
moutons item 4 sur la page 2,https://sn.coinafrique.com/categorie/moutons?page=2,80,2,Adresse 4
moutons item 5 sur la page 2,https://sn.coinafrique.com/categorie/moutons?page=2,100,2,Adresse 5
