Détails,Prix,Localisation,Image URL
Chiot Berger Allemand,350 000CFA,"location_onDiamniadio, Sénégal",https://images.coinafrique.com/thumb_5173038_uploaded_image1_1738846508.jpg
Chiot Chihuahua,150 000CFA,"location_onDiamniadio, Sénégal",https://images.coinafrique.com/thumb_5166882_uploaded_image1_1738583790.jpg
Chiot Husky,350 000CFA,"location_onSacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5162631_uploaded_image1_1738336899.jpg
Chiot Rottweiler,350 000CFA,"location_onSacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5161997_uploaded_image1_1738308372.jpg
Chiot,500 000CFA,"location_onYoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5159624_uploaded_image1_1738174976.jpg
Chiots Doberman,400 000CFA,"location_onHLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_5158454_uploaded_image1_1738138116.jpg
Chien Rottewaler,300 000CFA,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5155571_uploaded_image1_1737992590.jpg
Chiot Husky,400 000CFA,"location_onSacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5153382_uploaded_image1_1737859974.jpg
Chiots Berger Malinois,300CFA,"location_onThies, Sénégal",https://images.coinafrique.com/thumb_5151738_uploaded_image1_1737744308.jpg
Chiot Berger Malinois charboné,300CFA,"location_onThies, Sénégal",https://images.coinafrique.com/thumb_5151279_uploaded_image1_1737725407.jpg
Bichon,140 000CFA,"location_onMamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_5142846_uploaded_image1_1737318079.jpg
Chiot Labrador,Prix sur demande,"location_onMbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5136517_uploaded_image1_1736959572.jpg
Chiots Bichons,175 000CFA,"location_onMamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_5133780_uploaded_image1_1736845188.jpg
Chiot Berger Allemand,250 000CFA,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5131922_uploaded_image1_1736729395.jpg
Bichon femelle vaccinée,150 000CFA,"location_onMamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_5131391_uploaded_image1_1736694346.jpg
