Détails,Prix,Localisation,Image URL
Femelle brahma caillouté,55 000CFA,"location_onRufisque, Sénégal",https://images.coinafrique.com/thumb_5159050_uploaded_image1_1738156403.jpg
Femelle brahma caillouté,55 000CFA,"location_onRufisque, Sénégal",https://images.coinafrique.com/thumb_5159019_uploaded_image1_1738155613.jpg
Lapin métissage californien,15 000CFA,"location_onDieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_5148151_uploaded_image1_1737572310.jpg
Femelle Barmane,35 000CFA,"location_onRufisque, Sénégal",https://images.coinafrique.com/thumb_5124363_uploaded_image1_1736298689.jpg
Pigeon Mondain,150 000CFA,"location_onGuediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5121788_uploaded_image1_1736179154.jpg
Mâle Brahma,Prix sur demande,"location_onMbour, Sénégal",https://images.coinafrique.com/thumb_5121430_uploaded_image1_1736164839.jpg
Lapin,12 000CFA,"location_onDiamniadio, Sénégal",https://images.coinafrique.com/thumb_5119498_uploaded_image1_1736025924.jpg
Lapin,12 000CFA,"location_onDiamniadio, Sénégal",https://images.coinafrique.com/thumb_5119494_uploaded_image1_1736025705.jpg
Poussin Herminé,36 000CFA,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5107651_uploaded_image1_1735215733.jpg
Poussins,Prix sur demande,"location_onParcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5104370_uploaded_image1_1734964382.jpg
Couple lahore lavande,30 000CFA,"location_onPatte d'oie, Dakar, Sénégal",https://images.coinafrique.com/thumb_5088564_uploaded_image1_1734010113.jpg
Pigeon Mondain,200 000CFA,"location_onRufisque, Sénégal",https://images.coinafrique.com/thumb_5085521_uploaded_image1_1733851166.jpg
Poussin brahman,25 000CFA,"location_onPikine, Sénégal",https://images.coinafrique.com/thumb_5080703_uploaded_image1_1733571477.jpg
Mondain noir,150 000CFA,"location_onGuediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5078519_uploaded_image1_1733444790.jpg
couple boulon saxe,45 000CFA,"location_onMariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_5069958_uploaded_image1_1733056070.jpg
Couple adulte métisses,35 000CFA,"location_onPikine, Sénégal",https://images.coinafrique.com/thumb_5064256_uploaded_image1_1732714222.jpg
